0,1,2,3,4,5,6,7,8,9
-120.9090496,-102.5412557,-100.3082303,-100.1194706,-77.71603226,-76.18016781,-75.64545902,-75.72512095,-78.7446416,-101.8966107
-155.0603342,-118.8924053,-118.6265555,-117.7676211,-117.6203855,-117.85937,-118.095542,-118.0716843,-118.7444269,-118.9719133
-129.3096665,-123.6522762,-123.2797702,-123.1791792,-123.1433946,-123.5160787,-123.1345873,-123.4780954,-123.3411105,-122.9730351
-128.2848727,-107.5629765,-122.2025591,-121.3079711,-107.6131523,-106.4649955,-106.6494755,-107.4497265,-108.7313035,-109.4151396
-110.2625634,-109.7978204,-109.484698,-109.2809929,-110.8613689,-108.3898653,-108.6805198,-109.9082838,-109.7892736,-109.228634
-111.7758222,-122.0700566,-123.1977257,-122.6819035,-122.9931945,-122.0550487,-121.5075707,-122.5812772,-123.2097457,-122.3093023
-115.9894088,-169.8916923,-169.5468111,-167.494764,-170.0144308,-168.0766716,-167.6322261,-106.2240942,-109.0610194,-107.6351721
-145.7514084,-164.8588073,-163.9355653,-164.2744903,-163.802806,-165.6267635,-163.2857323,-157.9302973,-164.1363775,-165.7234343
-151.4549003,-140.384341,-129.2798554,-139.9941951,-128.67036,-137.0878318,-143.6457511,-141.2338738,-129.6542423,-122.693938
-136.3872636,-102.8653514,-103.3885886,-101.2530266,-101.9287754,-102.6117472,-101.1699917,-100.8747329,-102.7574115,-103.073401
-100.4994545,-105.1581758,-102.5069562,-102.6054498,-106.2186103,-101.9993592,-101.8409641,-104.6936089,-100.9065002,-101.7711722
-108.809276,-107.7794205,-110.297062,-103.6399852,-111.7699112,-111.6603717,-111.035116,-104.8082037,-106.4275121,-112.1739907
-109.3949594,-103.8052273,-103.6578218,-103.3767718,-102.7132959,-106.4809673,-103.797354,-106.3019491,-106.1912102,-104.2265064
-106.8547779,-104.1246496,-107.3043109,-114.662615,-113.4547698,-112.1300921,-104.4603821,-123.399588,-115.2878369,-109.6840214
-113.8980927,-152.7037742,-184.4141134,-113.7773424,-157.4516669,-129.827825,-141.2156266,-149.0230926,-168.7059304,-138.2156308
-123.9750514,-111.0085419,-97.35745246,-112.8335886,-117.0682765,-120.5260659,-111.3393958,-112.953429,-114.1325495,-117.8832942
-119.4314943,-112.0697716,-111.7747396,-117.2698086,-110.9377579,-112.1645397,-112.6340505,-114.0970815,-113.5321035,-113.3258779
-113.5238251,-111.6156147,-114.0200764,-112.7120456,-112.1503015,-110.7498928,-112.306939,-114.2313136,-113.7352622,-112.6823977
-122.6092226,-113.8912302,-112.4722404,-111.435625,-111.007463,-116.6053576,-112.4942257,-113.8815865,-113.261605,-111.5532588
-113.7350782,-113.5294937,-118.7421524,-110.0181134,-115.0233283,-112.8444637,-111.6604074,-109.0255575,-114.1184906,-112.7978978
-110.6840962,-130.6235473,-116.5198474,-114.8769991,-133.6259996,-113.8953964,-110.0237895,-110.1154672,-109.1680858,-120.6086857
-108.8417095,-111.7065249,-122.991029,-110.2715237,-109.3626392,-110.3210647,-111.2164909,-108.1072071,-110.4775962,-112.631317
-111.6741211,-119.7972539,-119.6645325,-118.3994363,-122.3241421,-119.609434,-117.7671933,-117.8114324,-120.9253345,-119.35451
-117.5962311,-119.3807311,-117.1798481,-116.5766016,-118.3057374,-117.4433309,-118.8336269,-117.7419681,-117.8226908,-117.2805917
-116.8119364,-114.6283115,-113.6265275,-110.7706606,-136.9440588,-116.4643485,-117.9696182,-117.7750289,-116.7164141,-147.8288433
-110.6937369,-120.7551666,-100.9041071,-92.08664767,-101.5287105,-91.77037778,-101.5896282,-103.7077254,-89.85622449,-82.80412322
-207.4720413,-151.2857798,-133.2690719,-127.6221784,-153.4240806,-103.2337151,-140.7417085,-117.4837016,-118.2816296,-105.6154966
-137.3822158,-109.5503439,-116.6201623,-120.9881759,-128.4935673,-117.0721074,-110.6635107,-117.9794668,-113.0029155,-113.0086599
-113.4618067,-107.5167826,-117.0244024,-127.8352924,-107.3509579,-113.1328098,-126.8770944,-107.1463406,-110.3727249,-114.5710598
-122.3603167,-113.7699645,-108.5890801,-124.45398,-107.9066469,-107.5740406,-107.3519382,-168.6590059,-107.5096444,-108.1277785
-108.8657678,-115.4122119,-115.7320341,-115.2956605,-117.0019669,-115.9219653,-116.2044128,-115.4690215,-115.5897605,-114.649449
-114.0279623,-189.3663883,-207.7013827,-193.1039551,-198.2170596,-155.5184212,-176.6518664,-194.7749745,-197.44769,-200.0213935
-114.812153,-107.0297476,-107.3337641,-107.815821,-107.1995771,-106.4318601,-106.805788,-108.2187724,-107.2913863,-106.5030298
-107.5739964,-106.9628276,-106.9832273,-106.9311515,-109.153338,-109.0143683,-113.6152669,-106.886558,-106.4415484,-106.8880814
-106.8902808,-108.6960488,-133.8243438,-107.6473622,-107.7408867,-107.7938727,-109.6087292,-107.2701419,-109.1846312,-107.3484346
-107.651031,-110.0638966,-120.2264284,-117.527468,-108.8384052,-109.108581,-108.1620365,-108.1702152,-109.1568749,-112.9611306
-119.5791526,-107.395424,-106.957422,-108.6458953,-107.1625666,-105.3991342,-107.3617652,-106.1585863,-105.5088362,-107.4821883
-106.9169753,-116.3209053,-119.2763405,-108.0239092,-108.0446752,-110.376277,-117.9514633,-110.3156428,-119.7425529,-118.1898732
-115.724293,-108.7682591,-107.074385,-106.6857847,-107.4710928,-107.0731943,-109.2713325,-106.4901426,-107.0151774,-108.6912855
-107.4500698,-125.1756967,-114.769894,-113.6647593,-113.3891192,-108.3574837,-112.9676539,-108.0111203,-128.3385238,-119.0474419
-108.9590008,-111.1340032,-111.2884857,-121.2528663,-111.5406014,-111.1992923,-110.9546714,-110.5227897,-111.7964313,-110.4932511
-109.1878303,-110.0263074,-132.8107106,-110.0044327,-124.5521438,-121.7847666,-113.3206986,-120.9180143,-109.901327,-124.6538441
-112.0611956,-117.0690204,-113.1264048,-109.6422525,-110.6460555,-108.1542383,-111.3277957,-112.0739556,-120.4957037,-120.8587321
-118.364628,-118.3845669,-114.4491875,-134.6441315,-113.6418715,-111.5149327,-116.005224,-115.7977219,-119.3955364,-112.5053517
-114.8649866,-108.3942425,-104.531038,-163.3983007,-147.5210511,-118.6527009,-132.7766954,-126.9964138,-112.6967816,-102.1312797
-110.0587912,-133.2572935,-165.2392137,-112.5692141,-116.3650663,-116.9732247,-113.4607686,-122.4701898,-134.451807,-119.4504769
-118.1823771,-124.0971301,-123.6492944,-117.5817089,-124.0271939,-124.8979559,-120.6087826,-114.7906911,-125.9545797,-120.0775216
-117.0508118,-129.115732,-152.5227336,-151.1611298,-148.1149234,-148.8542422,-116.191043,-136.9424134,-147.9479287,-116.1080029
-110.9242536,-105.5150601,-106.4162176,-108.0257634,-106.1011586,-107.0582778,-106.2722348,-108.0543384,-107.1951539,-107.7570612
-107.2637118,-155.1070552,-151.2181818,-107.574054,-116.4544195,-150.4156028,-133.6270194,-152.4699634,-151.8858268,-151.6838312
-119.9454465,-101.7582119,-119.3812479,-113.185276,-94.96069268,-110.4855338,-133.2131739,-130.4274492,-159.7547074,-99.53364655
-117.920565,-128.4055405,-116.858171,-109.1896846,-129.3022213,-111.9472132,-111.9998723,-109.3404138,-143.6019542,-103.6107178
-114.9004903,-117.98649,-105.3384067,-101.3194776,-97.28927039,-103.8637009,-99.68926139,-117.6919995,-102.8420274,-105.0652986
-113.4930803,-124.138947,-83.01169181,-86.88593544,-108.4679814,-100.5842811,-85.31825736,-88.34631615,-121.5220893,-102.5881047
-127.1672261,-126.3167969,-128.4240257,-126.5647311,-132.8351321,-130.4351944,-107.4052904,-132.1073127,-131.7208579,-127.6862108
-129.1865796,-106.6308421,-107.8510818,-105.7872226,-106.1603191,-107.3719824,-107.415056,-106.0888801,-107.4817728,-108.3319951
-107.5959823,-105.4190815,-105.9098502,-106.2582519,-105.42852,-104.9563087,-105.4613127,-105.3265545,-105.2420649,-106.5635631
-107.9533816,-114.0873475,-108.2210893,-109.8011641,-110.0117292,-105.0413921,-120.7039093,-107.1484919,-112.3600695,-133.5215403
-110.3186586,-107.8685446,-107.3733019,-108.2692377,-108.4340974,-107.1844172,-105.5080617,-107.0222306,-106.674039,-106.8767952
-109.0155083,-106.1413377,-105.4617286,-107.0733479,-105.9711499,-108.7677301,-109.0868341,-105.0710027,-108.762971,-108.6817542
-107.355744,-105.0225528,-104.8300388,-103.9288083,-105.282527,-105.0726501,-106.2068659,-103.3330083,-103.1887743,-106.0096144
-103.6674428,-105.3905761,-105.217088,-104.9810244,-105.3731335,-102.8190402,-103.9068253,-105.8565046,-106.3034065,-105.2243536
-105.6460266,-106.4482027,-104.4196834,-102.6208055,-104.3859207,-107.8168869,-103.2297093,-103.5730107,-103.2814256,-104.6792417
-104.0721573,-106.1324227,-106.7895119,-104.9889213,-107.2583685,-107.0436575,-106.753171,-106.5772462,-105.4213176,-108.5081338
-102.3626714,-102.3393004,-107.6902514,-100.223337,-100.9103015,-102.9781901,-100.8982662,-106.8795463,-103.6003611,-106.217806
-104.2729629,-102.9740749,-103.3227783,-103.2118287,-103.4603332,-103.5881801,-102.8193159,-103.5160972,-104.9041798,-102.3496657
-102.4517425,-107.0622792,-104.1134804,-104.7898325,-107.5444252,-105.1985812,-106.2521469,-105.0250774,-106.1478722,-105.3061444
-105.420476,-106.9988171,-104.353091,-107.1293502,-101.5622455,-105.0615685,-107.4590094,-108.1459209,-102.464893,-101.6842481
-106.151012,-102.8337597,-101.4253105,-103.2407053,-103.5042229,-103.4619207,-101.5856781,-103.1482285,-103.5795823,-101.9781776
-101.9810363,-103.0179474,-103.5093104,-101.2079789,-100.6646396,-103.3149684,-102.8710546,-102.7609891,-104.5080929,-103.3519849
-104.358347,-102.0146272,-106.8998006,-101.7976936,-122.4667367,-109.186972,-106.8050594,-105.6134764,-105.9766413,-103.4005843
