eval_num,average,median,best,worst,best_avg
0.0,106.49299430708378,120.69496855490281,65.17328281384356,138.30740877703514,63.39238364835435
25.0,99.11449575843369,62.41993445151024,34.68311474193781,129.83488089609085,35.07542217481519
50.0,106.29101137951953,111.52163658340152,54.415097647657625,146.5245871190849,56.27272234458459
75.0,99.24897484303256,114.47901176771583,39.083431743071145,178.66728027471402,45.33976927287633
100.0,110.99210534436192,88.71063923747577,63.7545001204566,168.21972804562375,64.59574850797054
125.0,111.10866862130543,108.03576784511904,70.7952071676653,154.12481058123836,74.34855027061505
150.0,108.78508050180434,112.87624598255691,75.53817523497462,143.55542332660545,60.846484276804276
175.0,114.75965115549202,90.76233835358018,80.92197738219993,150.61691967312447,82.54279969699539
200.0,110.4169736596742,103.73705046963877,40.61252231334593,174.4244873029215,44.65672049429227
225.0,112.04063152876869,109.98340262400298,56.663931292454485,145.5796896390449,67.21497859907956
250.0,115.8397547573796,102.06832999139097,87.58713785445663,199.87862199145377,84.50610190762173
275.0,112.74225174200026,102.2945213810398,89.91480790211445,145.3965886687419,95.79012376581888
300.0,102.53819056188004,101.61574762874966,12.56972142950251,136.4353028565416,90.34183247177607
325.0,109.8040222966017,100.27329280118147,97.53904570003724,134.14856727284806,97.82068978779192
350.0,117.46636888913821,115.24775047518624,58.93277950027163,183.2728240626375,63.465085309360994
375.0,107.50289945904055,98.66157850553654,74.78403170869836,142.59526687906,75.07056539461993
400.0,110.14007854270776,118.20229183032114,55.534013583563905,159.01825231341212,60.17576335817605
425.0,110.52405000845259,106.02171326779721,77.50730174975551,166.81594327599225,84.23914616494795
450.0,112.17721449751095,116.18989371479807,76.98536324641057,164.4928347286038,87.25649013500541
475.0,107.01399604406708,99.52531634355275,43.5064056427056,142.22624961109668,45.524852232597404
500.0,112.762965541102,105.66926322737211,94.62793477723427,175.0798231750849,94.59488848222881
525.0,108.15669338835978,113.9672270108002,74.83344988446999,177.3164062309491,83.78241631524027
550.0,109.67651764016037,108.20479908968261,67.02194331596283,147.67688787082832,67.71763359200767
575.0,120.02154928869419,137.21988362679852,43.13457845710341,225.70928104827556,52.82339328782625
