best,avg,std,median,avg_best
-58.74291131962165,-125.90231310178658,23.425112845032178,-118.48417516386712,-97.01876772269615
-53.567135863189435,-122.25913688795816,25.458537493681806,-112.72374400543487,-85.53098416916804
-60.560629823459166,-116.92688374138072,22.987346310239253,-106.62165787348385,-61.89173698158743
-61.00068100984779,-114.41344123303398,22.206067096688745,-105.08107072446676,-64.53822092634934
-59.22482846842865,-112.06713335054435,18.07626490028487,-104.32205863177474,-61.36994009307925
-57.95684186685798,-111.01478256759718,18.577376935751918,-103.42240937771244,-61.90137452598891
-64.56657521121045,-112.11210205412122,21.868174992123496,-102.56638003394235,-61.27066872441075
-59.49662603616109,-112.69622245577223,21.422422251384237,-103.36788048955285,-69.73406674832782
-60.46639176418916,-109.37275534507837,17.81006508728837,-102.85949735023613,-63.455810738408296
-59.515663408831415,-108.69905865646761,17.01445430666126,-102.75564972806566,-63.170529741458516
-52.57268220517559,-109.24166198671004,21.52955071417103,-102.59553371532391,-78.61531790565215
-61.688171173299025,-106.40286529503624,14.688480994603314,-101.65862144173195,-71.47791484721806
-43.60587822794545,-105.05097851107905,14.832776295570698,-101.17674384312997,-59.785679227539234
-42.116158886104735,-106.09392318107501,21.328377965950924,-100.98312207153963,-58.827298921568186
-7.562565428496662,-106.19827089683713,19.83413613555711,-101.43421540953513,-114.1390761422465
-28.199197794551985,-106.84656512501459,20.160428529120228,-102.85105816328475,-57.18885286126946
-5.850702065278614,-107.26115731466747,25.670501533037402,-102.2955818357226,-15.499802369614212
-1.9560559658503875,-107.83425973201085,23.37115169361182,-104.65861393635204,-17.39954864074013
-26.22949738545573,-103.23133550347859,20.314413467261833,-102.23747637798425,-19.589998954031863
4.733439994966633,-101.11119836264994,23.69443220797807,-101.55681732121081,-47.089644253367894
2.0082962849052155,-99.18446162219816,24.93235548157135,-98.27948299632895,-27.20278157884203
-3.786650073827435,-101.00466164564946,26.602854249721197,-103.42160839760315,-82.96095368473148
2.4419997520454397,-100.23947284706736,27.148638404295443,-101.26295217352899,-53.00532076181751
2.240197812861059,-94.83627922606333,30.84617654622621,-98.88063105602839,-73.49926806362353
6.343766041686794,-94.32964798044597,31.53732033494373,-96.37617844061809,-3.463045770689309
8.674258139303433,-89.48516785283927,33.751183316807,-96.61441552732344,0.40115473551353054
22.635776934860537,-89.2566771890328,35.25218939443449,-98.04674125619567,7.000509699888873
22.545936439699755,-87.4550796232731,32.30290232591357,-94.2919745930266,5.099421110501032
22.623353632291757,-89.82527413760178,34.40384900027345,-96.04869160016561,5.888641984000051
23.36678591437854,-86.86442297165723,39.81197451926385,-96.0948209089307,7.524821500789459
26.692234355930918,-88.55567002087889,37.243506984761886,-96.06130884407418,-23.98911289137645
20.372946639660327,-91.1017804263979,32.99488216981985,-95.82819035077037,-3.2776724389363907
18.60726134780028,-86.71877666711379,32.716965053955526,-94.36197804273823,16.68979346554027
25.52385185591298,-83.12584639861285,35.980665592681476,-93.18297377851546,18.372037973652972
17.4494963140605,-82.94759383263121,35.99029811286547,-93.7966177953627,5.267325285633791
26.283858758430377,-87.9295230351579,34.61957754090542,-95.48854505302036,16.89707752019192
17.952502054920053,-85.0602498050917,36.89956028641341,-94.78670849239904,18.011950240142713
23.585489285049377,-87.64571175067492,38.393417991461945,-96.60225174598983,-37.36882505222292
14.841393082082389,-86.9828295628739,36.551972396470035,-96.32361743703106,5.5403675531284255
17.71204559752448,-82.53748472733214,40.79037348627314,-94.92233639480267,9.417505884305744
14.627405125398882,-83.6922244564538,37.41489303039384,-94.84449414364542,13.701603025388215
17.871936756990095,-83.90980220204068,38.4791126722099,-96.1090400924859,6.074540570180451
9.982116991824622,-82.4075063053778,39.07325461908329,-94.75896498167288,-22.26336165627243
19.105733621933958,-81.12353252374974,39.527694274859655,-95.08243196605983,5.33286656904544
24.510118333572983,-80.19161218384191,41.518369482377196,-94.72172639075296,9.876114675962125
26.994136785402397,-82.35436435319977,39.96949238264005,-95.26241081074441,-6.540196036739507
54.85861023183396,-72.05027419847751,42.35187277604517,-89.3840849044309,47.47867241654241
77.929422479701,-75.27535340612961,42.65579578575163,-92.98974232884288,76.17539956626857
121.37679528847826,-76.15625192955736,46.503651046390864,-93.43335445097779,-8.0841416730071
102.05042829221959,-78.80844695570788,44.06040269346734,-95.62624604359083,100.85597063777546
78.70769986056055,-70.34240634801412,46.25570621832319,-87.57759430022716,34.95675394026922
81.44460152367196,-70.92679850541899,47.87636134774892,-93.14505936988863,57.60848590224043
68.73260650128677,-77.9989780718454,45.599337212705784,-95.6016601089965,70.39769337263031
82.35591225267395,-77.49291059558836,47.49971151128099,-95.82985490620115,24.725775387919494
103.04016772725305,-78.60560264301935,49.014091893417394,-95.4265153924927,52.15550233046713
125.3307532340787,-73.6378787336738,50.12937719636155,-94.76141628443924,82.85556205252644
138.51471041859477,-70.09406369805716,48.67587768657892,-94.41154086212993,118.13785732874165
115.8031240932915,-71.6571641828916,50.27482837125675,-94.24311198940194,120.9255763732607
135.05303183137514,-73.00085115804968,49.44632221133981,-94.96767536711786,65.06323178347654
142.1802714638133,-66.64521924432012,54.38954651644935,-93.49794568599353,82.02796821706103
126.558185452355,-70.40731050391378,53.21303821688829,-94.41665744357825,89.00082134083485
114.97676590686807,-72.55058666994444,50.00177850604173,-94.91053226299596,119.40129819266649
118.95146781332757,-74.43090095662998,48.729210401402966,-94.75873010689925,117.52561952233569
115.07118360159832,-71.46891145487601,51.37392547157731,-94.57119786385073,119.63499104781799
132.98212594331613,-69.96096060721,55.393245803163204,-94.53477101216589,-42.63578397261251
153.5897323937007,-68.00745191985162,59.71887009912299,-94.97404533167025,121.58273825345165
145.65039981729691,-69.718294974449,58.902431095283795,-94.32258408389427,128.48670521169268
