,Average
647,178.80805897829399
648,152.58636372595305
649,122.3975988505678
650,200.94359727449958
651,201.54744685038543
652,202.19928608466037
653,207.39378799353995
654,199.55812635648755
655,179.89006607657194
656,201.29403491408124
657,190.86220919104727
658,197.73040816911058
659,202.45843408260833
660,190.6878993961786
661,98.98510620706898
662,201.4824879900315
663,177.71030692413848
664,152.58636372595305
665,192.273133120983
666,205.4138536444788
667,201.50972223645925
668,168.40191179884408
669,121.6743244174626
670,179.68432924310497
671,163.1426534654385
672,152.46703845153402
673,147.07403582536946
674,202.43174666336654
675,77.87186103140523
676,202.54266737996937
677,150.60804825578282
678,184.67927628565997
679,181.73897263816667
680,152.46814085150913
681,164.31458345219406
682,182.30800732676536
683,201.74839106065858
684,202.8412468651085
685,168.52568911796243
686,180.56908054671814
687,180.40601118602606
688,172.9027441484483
689,176.21292015758266
690,198.7589965085768
691,201.68846188650178
692,202.80238454630208
693,168.52568911796243
694,205.42221565543264
695,199.6263851536616
696,154.50634693928183
697,164.31458345219406
698,163.03257508375935
699,200.65990778713658
700,203.19680536646246
701,168.73142568169533
702,188.4814318424206
703,202.5079535497678
704,151.7991909025763
705,164.31503016265995
706,179.32491394544417
707,185.0227510230847
708,201.39946135622003
709,168.4614376461378
710,205.86722261655154
711,181.48132917336633
712,138.10436938636138
713,164.27621883648845
714,162.15282428408264
715,189.71140235395598
716,186.79784139079976
717,167.4861033094187
718,180.95364394706357
719,184.02561353184666
720,155.26074537633582
721,163.4752698484543
722,136.15736389643573
723,179.15747845606998
724,202.62198968888197
725,166.82974963735822
726,182.032103053144
727,180.56377380746613
728,174.4066497211379
729,152.8876517472443
730,136.15736389643573
731,135.82896387062124
732,200.00608578761208
733,167.23583354857232
734,182.032103053144
735,186.48949858378506
736,176.76645538334776
737,163.6101385520903
738,136.15736389643573
739,160.77837279834768
740,200.97090232325098
741,167.72333906619588
742,182.01674076805085
743,140.94445769129123
744,176.47142145932452
745,176.7746617860499
746,136.11316001695621
747,167.8777346773448
748,185.31616814691222
749,87.87494729972909
750,182.428924980906
751,159.12523260239453
752,152.60092764433165
753,162.62475373102706
754,136.07625127559965
755,163.20396240767803
756,189.06646529046614
757,166.15029075376077
758,182.2570685739862
759,133.28156081586465
760,138.8827742714949
761,175.6341074294719
762,135.7974356154619
763,138.19280969923904
764,199.83815761316183
765,181.43003153050637
766,182.6095281851607
767,134.75570919262591
768,155.17067342729894
769,176.74437632057294
770,136.45020167108865
771,138.19280969923904
772,182.88048952823016
773,165.26061642550408
774,182.23479623574957
775,134.75570919262591
776,145.41707288369338
777,179.1850551897758
778,135.5039970852072
779,138.19280969923904
780,139.0063623439583
781,148.18884227730328
782,181.96232333172685
783,134.76228552778676
784,104.51180288005214
785,163.214750019184
786,135.0922588521659
787,138.19280969923904
788,164.82199471241967
789,179.41029289602645
790,164.77978570853753
791,134.75708058529145
792,149.7497177069858
793,165.0061726564457
794,136.81395246670203
795,138.1077812428487
796,164.40846248014338
797,181.78858197682524
798,171.57477266923064
799,203.2713336433056
800,159.94396775308388
801,140.90697379957945
802,142.3666084620821
803,200.37974217548847
804,174.38975942614397
805,164.1636162453359
806,186.39484677633976
807,201.95751775081595
808,202.19928608466037
809,173.41971031449563
810,204.10806016469084
811,178.80805897829399
812,163.54203551226766
813,203.77657135849194
814,204.74948959117683
815,201.54744685038543
816,202.19928608466037
817,207.39378799353995
818,199.55812635648755
819,179.89006607657194
820,163.54203551226766
821,204.4641633519231
822,197.73040816911058
823,193.4731920711127
824,202.19928608466037
825,162.35108075069598
826,201.4824879900315
827,188.9648445074021
828,152.58636372595305
829,192.273133120983
830,205.4138536444788
831,207.38036024909312
832,202.21339170852292
833,97.14096129418805
834,194.74038548509108
835,163.1426534654385
836,152.46703845153402
837,183.14134087118416
838,202.43174666336654
839,205.9819516835339
840,191.5724632299644
841,-39.11924132463574
842,204.5389329797045
843,181.73897263816667
844,163.739199965673
845,179.0510827486276
846,186.68320231665922
847,205.28026450099725
848,128.06553758777463
849,127.69634860868526
850,186.39809476621576
851,191.5811508253251
852,162.82579369283755
853,179.0510827486276
854,169.41253703026265
855,205.66471039180487
856,189.94496631520354
857,207.37352207116373
858,158.74753112325112
859,191.8815139972762
860,163.8862906335866
861,179.0510827486276
862,187.27724818645146
863,205.389290107318
864,188.3388576915109
865,207.36432790285068
866,163.13529497491976
867,206.82390729174216
868,164.10770978771794
869,179.06968653079872
870,176.66383619788454
871,207.05544560279273
872,207.070516694594
873,207.32560322044907
874,165.38690050397275
875,205.0836972530247
876,177.66994498054484
877,179.04276236192948
878,148.07713949835778
879,168.888264480139
880,206.96381066569202
881,207.1080249136522
882,161.40792045228133
883,193.6590332037844
884,164.96552940776647
885,179.52487778613425
886,144.29390570838189
887,29.8869789749235
888,133.13118117746527
889,206.36266015194855
890,189.66724417419027
891,153.27822304465772
892,165.38767581418728
893,203.57902710015597
894,144.29390570838189
895,170.08817171134848
896,205.88000185883158
897,208.0777890213304
898,188.86423405476503
899,199.45806423361338
900,166.0408264990479
901,180.15731590481525
902,184.6104964226598
903,187.4892499590372
904,204.1122060120609
905,206.2933326169064
906,187.90774802898397
907,162.3459630841919
908,180.7632511579529
909,179.38781394837844
910,144.3791712034687
911,183.91221524217147
912,206.7446301877698
913,193.79603484139142
914,188.17560378548677
915,185.73805697259812
916,178.1502226320393
917,182.03420927960147
918,144.50955934200357
919,137.23401639021952
920,205.51669664753672
921,207.29438303388656
922,188.23447033828603
923,160.25434136630284
924,168.16667319141283
925,182.49770074200867
926,144.4687154094285
927,133.20672508413375
928,205.84508833124409
929,208.84068250632146
930,177.9321820340359
931,186.84314416701596
932,141.415790995298
933,179.92231756891385
934,145.4790241984461
935,133.20672508413375
936,192.58102517912698
937,208.87239442913773
938,189.43263560063326
939,186.84314416701596
940,155.65554428745773
941,181.09516610487827
942,133.12813921133755
943,133.20672508413375
944,187.1681559274719
945,206.24244969824002
946,189.75173615729693
947,186.87952079754933
948,137.50724329261257
949,168.77131983495116
950,130.89808882257864
951,132.99417511769184
952,161.63566096801952
953,175.4677433923577
954,188.9443368398478
955,186.74726061457116
956,160.01132775824038
957,144.05126814051508
958,143.10237967339825
959,132.7945944082323
960,156.6346209147345
961,162.18515812307072
962,189.4238020821753
963,186.3883267516308
964,159.94396775308388
965,140.90697379957945
966,203.82430079469466
967,151.06186658714415
968,151.75779168517437
969,202.011255328767
970,204.4047128815833
971,191.32272236517855
972,191.75964128793981
973,174.68015830148198
974,204.10806016469084
975,203.3110240272911
976,163.54203551226766
977,203.77657135849194
978,204.74948959117683
979,191.70717039717508
980,191.75964128793981
981,160.4321270570395
982,190.95451729693679
983,188.93203640077996
984,163.54203551226766
985,121.25559241323842
986,188.87350427862015
987,193.4731920711127
988,191.75961524598577
989,162.35108075069598
990,206.750418180498
991,188.9648445074021
992,163.40723236809833
993,205.84945322503654
994,204.49270446206046
995,207.38036024909312
996,191.85819406354142
997,208.09515240008886
998,177.82723196238686
999,202.91698967111301
1000,163.3185739317094
1001,183.14134087118416
1002,204.9360070180544
1003,205.9819516835339
1004,191.5724632299644
1005,182.31785470971403
1006,127.17255248994752
1007,190.3590710893768
1008,163.739199965673
1009,179.0510827486276
1010,186.68320231665922
1011,205.28026450099725
1012,123.16507238775937
1013,207.37352207116373
1014,169.8907594196297
1015,154.99076177514627
1016,187.0958519272976
1017,48.23847871873122
1018,29.18285182090774
1019,162.5278425451657
1020,189.94496631520354
1021,150.26057515556096
1022,158.74753112325112
1023,132.5014192611635
1024,163.8862906335866
1025,138.16980399457864
1026,-63.57805901298057
1027,123.3312503254801
1028,131.80180968263363
1029,207.36432790285068
1030,146.9511787095335
1031,192.01907008489982
1032,138.66942138514057
1033,179.06968653079872
1034,169.66267514881912
1035,183.9538541126403
1036,159.38734175851965
1037,207.32560322044907
1038,172.40702674967736
1039,205.0836972530247
1040,176.8571895081815
1041,149.43114207182114
1042,148.07713949835778
1043,-14.470343932973316
1044,141.74816252896886
1045,132.97097105648587
1046,167.95959411272324
1047,188.61125674450332
1048,173.4263572458215
1049,149.58810790516299
1050,187.3255654379181
1051,143.88322912051993
1052,113.91090402587363
1053,133.82229027732168
1054,171.88819020979014
1055,153.71206845038387
1056,155.02330186014564
1057,148.76606910267503
1058,187.3255654379181
1059,167.2096499089511
1060,22.572209568561433
1061,132.683198446929
1062,171.88819020979014
1063,131.04175913063767
1064,171.8915050171596
1065,144.59584862817206
1066,109.6002404551371
1067,115.63795934056614
